epoch_idx	precision@20	recall@20	ndcg@20
1.0	0.013693672215460995	0.12862244426713715	0.06764766407009848
2.0	0.01401099312570117	0.13183211809815096	0.07005489517600548
3.0	0.014120780495740106	0.13306985943395208	0.07103101852986485
4.0	0.014168945277040003	0.13396033609174574	0.07178264953427546
5.0	0.0142050688618935	0.13430530669617288	0.07192420110738128
6.0	0.014224193112986993	0.13483378750158462	0.0723037346426615
7.0	0.014330438953908104	0.13579626387026794	0.07285003118728474
8.0	0.014506098743553407	0.13722163077009228	0.07350322445736608
9.0	0.014299981812497862	0.13556527297960744	0.07234801611807178
10.0	0.01464563494765916	0.13867277411162546	0.07432913397238652
11.0	0.01463146883482919	0.13890240369673604	0.07434930354699322
12.0	0.014699466172455086	0.13923671975406254	0.07441412968866148
13.0	0.014606678138867573	0.1390025759883278	0.07420810361740868
14.0	0.014637843585457552	0.13927748433251108	0.07427915202302418
15.0	0.014533014356373553	0.13875095748491367	0.07376147870765835
16.0	0.014700882784028334	0.13957653863413397	0.07406305087306614
17.0	0.014591803720541228	0.13842688426601718	0.0735759299774264
18.0	0.014727798396584616	0.13939549444377078	0.07417168427463287
19.0	0.01458826219321768	0.1383948119391458	0.073726106985635
20.0	0.01466688411555841	0.1388037345884156	0.07373917740314244
21.0	0.01459109541588922	0.1383438774317827	0.07340340838635094
22.0	0.014791545901812775	0.13998897271411695	0.0745443598431278
23.0	0.014779504706210743	0.13996810585526262	0.07433218648157355
24.0	0.014568429635625131	0.13829836396131678	0.07322562941117869
25.0	0.014729923313812555	0.13971141790170066	0.07387683500768337
26.0	0.014561346580397535	0.1383076271184543	0.07318975970850522
27.0	0.014749755870349648	0.13996227484802348	0.0739392434617107
28.0	0.014713632285285059	0.13966297020913607	0.07409795502409251
29.0	0.014717173814455656	0.13932916360012335	0.0737533160729667
30.0	0.014834752544057557	0.14036994105592965	0.07465416139945667
31.0	0.014724256868786112	0.13962263483083326	0.07408359681633007
32.0	0.014712215675664407	0.1395641442358209	0.07406072330178291
33.0	0.014891416991788888	0.14123865342884223	0.07483832300023976
34.0	0.014905583105515999	0.14143644828132837	0.07502885387483434
35.0	0.014628635613951927	0.13844730596707466	0.07341113297800314
36.0	0.014819169820287614	0.1405326257996104	0.074956421431195
37.0	0.014794379123956586	0.140544863854239	0.07451393502535146
38.0	0.014771713344747955	0.14043608090324136	0.0741148463604056
39.0	0.014916915994618973	0.1414667212776353	0.07478134080605618
40.0	0.014734881453500943	0.14011019802623023	0.0741915998501072
41.0	0.014666175809798171	0.13954981036726377	0.07374607229056371
42.0	0.014818461513630237	0.14051837189409605	0.07429672070572335
43.0	0.014711507369481985	0.140007321744825	0.07376286774192503
44.0	0.014790129289870118	0.1405872160558173	0.07449090758425127
45.0	0.014809253540858065	0.14089432908693209	0.07457551673120866
46.0	0.01474763095354389	0.13977365412237083	0.07411699834096579
47.0	0.014757547233501169	0.13989594762893612	0.07379517444817965
48.0	0.014631468834565325	0.13894340426249735	0.07345781297609262
49.0	0.014761088759347075	0.1403709146745023	0.07414265023747599
49.0	0.014761088759347075	0.1403709146745023	0.07414265023747599
